Id,Projectnaamafkorting,Buurtcode,Buurtnaam,Wijkcode,Wijknaam,Gebiedcode,Gebiednaam,Stadsdeelcode,Stadsdeelnaam,Zelfbouw,Socialehuurcorporatie,Plaberumpublicatie,Startbouwgepland,Startbouwgerealiseerd,Socialehuurzelfstperm,Middeldurehuur,Socialekoop,Vrijesectorhuur,Vrijesectorkoop,Vrijesectornb,Onbekend,Jongeren,Studenten,Shonzelfstenoftijdelijk,Onzelfstandig,Tijdelijk,Totaal,Totaalzelfstperm,Peildatum,Geometrie
6423,Entree Gulden Winckel - Bouwen (wrs. gefaseerd),EE01,Bosleeuw,EE,Landlust,GE04,Bos en Lommer,E,West,n.b.,n.b.,Fase 2&3: Haalbaarheid en ontwerp,2025-11-04,,180,180,0,0,0,90,0,n.b.,n.b.,n.b.,n.b.,n.b.,450,450,2023-07-01,"SRID=28992;MULTIPOLYGON (((118175.5862605442 488657.453883392, 118137.7029766816 488680.1019056476, 118127.8765539672 488659.813077827, 118142.4011202868 488652.805854249, 118125.1338979836 488619.8879420717, 118137.9817533333 488609.8889722467, 118146.8696789855 488605.7056122208, 118175.5862605442 488657.453883392)))"
6437,Buiksloterham Kavel 57 - Realisatie Kavel 57,NB04,Buiksloterham-Zuid,NB,Noordelijke IJ-oevers-West,GN19,Oud-Noord,N,Noord,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2029-08-07,,37,36,0,0,0,18,0,n.b.,n.b.,n.b.,n.b.,n.b.,91,91,2023-07-01,"SRID=28992;MULTIPOLYGON (((122290.0244513155 489434.0421417347, 122242.8034534562 489478.3065667979, 122217.9701101175 489439.3050347084, 122189.1936747716 489430.8174238898, 122195.1045084776 489409.6370940472, 122258.2918937097 489381.1776064325, 122267.3258919687 489398.7091964149, 122290.0244513155 489434.0421417347)))"
6550,Centrumeiland blok 7,MK04,Centrumeiland,MK,IJburg-Oost,GM17,"IJburg, Zeeburgereiland",M,Oost,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2023-07-03,,0,0,0,0,4,0,0,n.b.,n.b.,n.b.,n.b.,n.b.,4,4,2023-07-01,"SRID=28992;MULTIPOLYGON (((129478.2229391634 484857.2702201734, 129482.6805437964 484848.3458826573, 129493.1250483003 484853.5103226666, 129488.6674870962 484862.4457771516, 129478.2229391634 484857.2702201734)))"
6578,IJburg 2/Buiteneiland - Realiseren woningen Buiteneiland 3de tranche,MK01,Buiteneiland,MK,IJburg-Oost,GM17,"IJburg, Zeeburgereiland",M,Oost,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2037-01-05,,0,0,0,0,0,0,100,n.b.,n.b.,n.b.,n.b.,n.b.,100,100,2023-07-01,"SRID=28992;MULTIPOLYGON (((130125.4239468921 486425.1608594328, 130385.398000428 486489.3938345427, 130357.6144814371 486640.743653659, 130127.0320538243 486567.2401454423, 130125.4239468921 486425.1608594328)))"
6672,2e fase Eendrachtsparkbuurt 2a Nieuwe Geus,FB03,Ruys de Beerenbrouckbuurt,FB,Geuzenveld,GF07,"Geuzenveld, Slotermeer",F,Nieuw-West,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2023-09-05,,120,0,0,0,0,0,0,n.b.,n.b.,n.b.,n.b.,n.b.,120,120,2023-07-01,"SRID=28992;MULTIPOLYGON (((115446.3817293163 488238.174950225, 115446.0717424635 488251.3183870244, 115418.967853505 488250.8570039791, 115418.992596089 488262.4288553147, 115445.8938570972 488263.1032747361, 115444.8119641056 488315.8537911254, 115398.0272976343 488315.0051298206, 115398.4243813674 488295.7634071464, 115424.1688072202 488296.5471346152, 115424.7136808616 488278.7396096115, 115398.6218334322 488277.9475399725, 115399.5895181526 488237.3263270847, 115446.3817293163 488238.174950225)), ((115444.3271166121 488339.4579856116, 115443.9821250862 488355.0273857649, 115397.1960435784 488353.9562079993, 115397.4795214937 488338.3761698663, 115444.3271166121 488339.4579856116)))"
6738,Brediuslocatie,EB03,Zaanstraat emplacement,EB,Spaarndammerbuurt/Zeeheldenbuurt,GE03,Westerpark,E,West,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2024-01-12,,0,81,0,0,21,0,0,n.b.,n.b.,n.b.,n.b.,n.b.,102,102,2023-07-01,"SRID=28992;MULTIPOLYGON (((119896.8986175833 489347.457611679, 119902.6189932305 489357.3198419744, 119895.1823191326 489363.6038239022, 119851.3013428873 489520.2492304588, 119861.2821384464 489565.3533285197, 119840.1857349408 489566.1712825217, 119833.9733075792 489515.9219829061, 119837.9285392911 489496.8556603499, 119820.2080682438 489492.8761919785, 119788.1016549845 489440.9201329135, 119652.9826918101 489535.9200273154, 119641.5016101192 489529.6488563183, 119896.8986175833 489347.457611679)))"
6837,ZV Kolenkit / Cordaan,ED02,Kolenkitbuurt-Zuid,ED,De Kolenkit,GE04,Bos en Lommer,E,West,n.b.,n.b.,Fase 2&3: Haalbaarheid en ontwerp,2023-10-09,,53,0,0,0,0,0,0,n.b.,n.b.,n.b.,n.b.,n.b.,53,53,2023-07-01,"SRID=28992;MULTIPOLYGON (((117922.6892539792 487846.972049662, 117900.8062778144 487852.8112480044, 117899.4059572868 487847.7033993782, 117909.3349684482 487845.0695680137, 117900.7000906977 487812.4213772389, 117911.1799709436 487809.6832667127, 117919.5866517044 487841.8769866963, 117921.2856104037 487841.4191438233, 117922.6892539792 487846.972049662)))"
6839,Nieuwendam Nrd De Kubus,NJ05,Werengouw-Midden,NJ,Waterlandpleinbuurt,GN20,Noord-Oost,N,Noord,n.b.,n.b.,Fase 2&3: Haalbaarheid en ontwerp,2024-02-19,,152,0,0,0,105,0,0,n.b.,n.b.,n.b.,n.b.,n.b.,257,257,2023-07-01,"SRID=28992;MULTIPOLYGON (((125469.6383175484 489638.7543931426, 125434.0015921219 489656.5370849537, 125381.5046298222 489551.9263590815, 125417.1391942415 489533.6871101569, 125469.6383175484 489638.7543931426)))"
6858,Amstelkwartier 2 Kavel 7 MOWGLI,MQ05,Amstelkwartier-Noord,MQ,Omval/Overamstel,GM16,Watergraafsmeer,M,Oost,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2024-12-30,,0,246,0,0,35,0,0,n.b.,n.b.,n.b.,n.b.,n.b.,281,281,2023-07-01,"SRID=28992;MULTIPOLYGON (((122932.8950355955 483403.114682175, 122880.3296148659 483431.940539035, 122865.9134360552 483405.5527025216, 122879.0888606497 483398.3459261265, 122885.0897994148 483409.3223618006, 122924.4792833388 483387.6030407399, 122932.8950355955 483403.114682175)), ((122960.4674532669 483367.886648939, 122969.9732548803 483382.2897388349, 122937.3771912311 483400.6265881466, 122928.8947400268 483385.3379064742, 122960.4674532669 483367.886648939)))"
6900,Beethoven kavel 6/7,KP01,Zuidas-Noord,KP,Zuidas,GK12,"Buitenveldert, Zuidas",K,Zuid,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2025-01-13,,0,0,0,74,174,0,0,n.b.,n.b.,n.b.,n.b.,n.b.,248,248,2023-07-01,"SRID=28992;MULTIPOLYGON (((120494.318939803 483686.9040562293, 120491.226900913 483712.5283855032, 120447.5224422387 483748.7738591094, 120380.0233083345 483734.9938388577, 120388.0928736429 483680.6608101447, 120494.318939803 483686.9040562293)))"
